Annam	6000295	null	null	Historical region	Polygon		https://www.google.com/maps/place/null+null	Coordinates are an estimate. TGN does not supply coordinates. The middle part of Vietnam would be fine for general coordinates, using Hué for example would be fine	false	Annam	Provinces de l’Annam	Annum
Anpoa, Fokien							https://www.google.com/maps/place/+	Not found	true	Anpoa, Fokien
Chenan							https://www.google.com/maps/place/+	not found; possibly refers to "Shih-nan"/modern-day "Enshi, Hubei" (TGN: 8203460) 	true	Chenan, Southern Hupeh	Chenan
Cheokiakeo							https://www.google.com/maps/place/+	No place found via Getty, Google, Google maps. An old map will be required	true	Cheokiakeo, Hona	Cheokiakeo, Honam	Cheokiako, Honan	Cheo-kia-kéo, Honan
Chung-hua							https://www.google.com/maps/place/+	Not found.	true	Chinghwa	Chung-hua
Eastern Siberia	7011548	null	null	General region	Polygon		https://www.google.com/maps/place/null+null	TGN for Siberia region	true	Eastern Siberia	Eastern Sib
Ho-shi-tun							https://www.google.com/maps/place/+	Not found; very little to go on - possibly linked to the place below?? But sounds more Jpanaese in a way	true	Ho-shi-tun
Hsingsi, Kueichow Province							https://www.google.com/maps/place/+	Not found	true	Hsingsi, Kueichow Province
K'u-hsien, Szechuen							https://www.google.com/maps/place/+	Not found	true	K'u-hsien, Szechuen	K'ü-hsien, Szechuen
Kang Boe, Fokien							https://www.google.com/maps/place/+	Not found	true	Kang Boe, Fokien
Kiaisiu, Shansi							https://www.google.com/maps/place/+	Not found	true	Kiaisiu, Shansi
Kinkiaeg							https://www.google.com/maps/place/+		false	Kinkiaeg
Koishikawa, Japan							https://www.google.com/maps/place/+		false	Koishikawa, Japan
Koke							https://www.google.com/maps/place/+	uncvertain, Kobe is the closest possibility	true	Koke
Kucheo, Chekiang							https://www.google.com/maps/place/+	Not found	true	Kucheo, Chekiang
Kuhwu, Shansi							https://www.google.com/maps/place/+	Not found	true	Kuhwu, Shansi
Kwei-hwa-chén, Shansi							https://www.google.com/maps/place/+	Kwei-hwa-chén is in the inner mongolia province, although there seems to be some confusion regarding it's position in european studies.	true
Kê-roy, Tonkin Septentrional							https://www.google.com/maps/place/+	Not found	true	Kê-roy, Tonkin Septentrional
Lampilao, Fokien							https://www.google.com/maps/place/+	Not Found: could be in the south of Fujien Province, perhaps 8 miles/12 Km from the coast.	true	Lampilao, Fokien
Laotian Regions, Siam						GR_Siam	https://www.google.com/maps/place/+	Territory of Laos in Siam, needs to be defined manually	true	Laotian Regions, Siam
Liang-cheo, Kansuh						GR_Kansuh	https://www.google.com/maps/place/+	seems to be a monastery in the Gansu region, TGN for Gansu	true	Liang-cheo, Kansuh	Liangcheo, Kansuh
Lohau-chai							https://www.google.com/maps/place/+	Not Found: Can possibly be found on the North China Imperial Railway	true	Lohau-chai
Longthun, Siam						GR_Siam	https://www.google.com/maps/place/+	Not found.	true	Longthun, Siam
Longxuyen, Tonkin							https://www.google.com/maps/place/+	Longxuyen is in Cochin-China, not in Tonkin	true	Longxuyen, Tonkin
Lower Perak							https://www.google.com/maps/place/+		false	Lower Perak
Nganluhfu, Hupeh							https://www.google.com/maps/place/+	not found	true	Nganluhfu, Hupeh
